21:56:52 WARN  riot                 :: Lexical form '2012-11-11T16:37:43-0800' not valid for datatype http://www.w3.org/2001/XMLSchema#dateTime
author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
"Souripriya Das, Jagannathan Srinivasan, Matthew Perry and Seema Sundara",Customer Adoption of Semantic Web Technologies - Sharing our Experience at Oracle,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-07,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Matthew Perry;Souripriya Das;Seema Sundara;Jagannathan Srinivasan,4,,0
"Stéphane Corlosquet, Sudeshna Das, Emily Merrill, Paolo Ciccarese and Tim Clark",Drupal as a Semantic Web platform,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-06,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Emily Merrill;Tim Clark;Paolo Ciccarese;Stéphane Corlosquet;Sudeshna Das,5,,0
Bruno Alves and Michael Schumacher,Fairtrace - Tracing the textile industry,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-10,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Bruno Alves;Michael Schumacher,2,,0
"Montiago Labute, Archana Venbakam, Sean Felten and Venkat Krishnamurthy",Financial Market Sensing via Querying a Time-Dependent RDF Graph of Sentiment Indicators Aggregated from Web-Based News Articles,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-02,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Montiago Labute;Venkat Krishnamurthy;Archana Venbakam;Sean Felten,4,,0
"Zhe Wu, Karl Rieb, Jay Banerjee, Vladimir Mikhailov and Sakthi Sundaram",Fortifying a SPARQL Endpoint for Enterprise Usage Scenarios,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-05,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Jay Banerjee;Zhe Wu;Vladimir Mikhailov;Sakthi Sundaram;Karl Rieb,5,,0
Mathieu d'Aquin and Stuart Brown,Linked Data at The Open University: From Technical Challenges to Organizational Innovation,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-08,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Mathieu d'Aquin;Stuart Brown,2,,0
Fabrice Lacroix,Linked Enterprise Data: leveraging the Semantic Web stack in a corporate IS environment,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-09,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Fabrice Lacroix,1,,0
Peter Haase and Michael Schmidt,On Demand Access to Big Data through Semantic Technologies,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-04,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Peter Haase;Michael Schmidt,2,,0
Chris Chaulk,Semantic Web Success Story: Practical Integration of Semantic Web Technology and Linked Data Principles in the Architecture and Implementation of an Enterprise Product,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-11,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Chris Chaulk,1,,0
Evren Sirin and Kendall Clark,Stardog Linked Data Catalog,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-12,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Kendall Clark;Evren Sirin,2,,0
